#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id	base	images	
				3660	6000								
0	追真剣	1656	2279	457	43	13	255	1	3435	3364			
0	笑１	1653	2248	465	82	13	255	0	3305	3364			
0	笑２	1654	2291	459	88	13	255	0	3308	3364			
0	怒１	1708	2293	360	68	13	255	0	3311	3364			
0	怒２	1689	2264	386	54	13	255	0	3314	3364			
0	悲１	1674	2263	424	110	13	255	0	3317	3364			
0	悲２	1697	2277	376	98	13	255	0	3320	3364			
0	泣１	1714	2267	340	117	13	255	0	3323	3364			
0	泣２	1703	2274	373	96	13	255	0	3088	3364			
0	泣３	1694	2290	383	105	13	255	0	3334	3364			
0	驚１	1655	2243	463	88	13	255	0	3337	3364			
0	驚２	1659	2236	451	105	13	255	0	3340	3364			
0	照１	1654	2253	461	91	13	255	0	3343	3364			
0	照２	1682	2285	391	114	13	255	0	3346	3364			
0	えっへん	1654	2266	472	42	13	255	0	3349	3364			
0	ギャグ笑	1679	2284	397	42	13	255	0	3353	3364			
0	ギャグ怒	1693	2292	366	60	13	255	0	3355	3364			
0	ギャグ泣	1661	2242	435	127	13	255	0	3358	3364			
0	ギャグ驚	1672	2259	431	75	13	255	0	3361	3364			
0	追真剣	1645	2324	485	175	13	255	0	3433	3366			
0	笑１	1645	2318	485	181	13	255	0	3306	3366			
0	笑２	1678	2346	420	146	13	255	0	3309	3366			
0	怒１	1647	2336	480	163	13	255	0	3312	3366			
0	怒２	1645	2318	485	181	13	255	0	3315	3366			
0	悲１	1645	2324	485	175	13	255	0	3318	3366			
0	悲２	1651	2336	475	157	13	255	0	3321	3366			
0	泣１	1669	2353	436	142	13	255	0	3439	3366			
0	泣２	1647	2340	480	288	13	255	1	3442	3366			
0	泣３	1680	2340	416	288	13	255	0	3437	3366			
0	驚１	1645	2315	484	184	13	255	0	3338	3366			
0	驚２	1645	2313	484	186	13	255	0	3341	3366			
0	照１	1645	2323	485	176	13	255	0	3344	3366			
0	照２	1669	2353	436	132	13	255	0	3347	3366			
0	えっへん	1680	2340	416	141	13	255	0	3350	3366			
0	ギャグ笑	1691	2405	388	92	13	255	0	3352	3366			
0	ギャグ怒	1658	2343	457	150	13	255	0	3356	3366			
0	ギャグ泣	1691	2405	425	165	13	255	0	3359	3366			
0	ギャグ驚	1721	2359	336	135	13	255	0	3362	3366			
0	追開け	1845	2562	86	58	13	255	0	3399	3368			
0	追真剣	1868	2577	45	29	13	255	0	3436	3368			
0	笑１	1846	2570	84	41	13	255	0	3307	3368			
0	笑２	1833	2544	110	98	13	255	0	3310	3368			
0	怒１	1850	2568	73	45	13	255	0	3313	3368			
0	怒２	1834	2539	106	112	13	255	0	3316	3368			
0	悲１	1860	2565	57	62	13	255	0	3319	3368			
0	悲２	1850	2569	71	53	13	255	0	3322	3368			
0	泣１	1828	2540	117	116	13	255	0	3326	3368			
0	泣２	1838	2562	99	71	13	255	0	3333	3368			
0	泣３	1838	2562	99	71	13	255	0	3336	3368			
0	驚１	1851	2557	71	80	13	255	0	3339	3368			
0	驚２	1834	2535	108	119	13	255	0	3342	3368			
0	照１	1841	2565	97	65	13	255	0	3345	3368			
0	照２	1833	2553	111	94	13	255	0	3348	3368			
0	えっへん	1845	2569	85	42	13	255	0	3351	3368			
0	ギャグ笑	1844	2565	91	48	13	255	0	3354	3368			
0	ギャグ怒	1858	2554	55	79	13	255	0	3357	3368			
0	ギャグ泣	1829	2549	127	87	13	255	0	3360	3368			
0	ギャグ驚	1833	2554	107	78	13	255	0	3363	3368			
0	汗	2004	2542	26	44	13	255	1	3389	3379			
0	G頬	1704	2482	366	77	13	255	0	176	2683			
0	頬１	1660	2415	432	200	13	255	0	2833	2683			
0	頬２	1647	2396	521	234	13	255	0	2829	2683			
0	頬３	1580	2375	611	279	13	255	0	2825	2683			
0	頬４	1589	2397	589	257	13	255	1	2821	2683			
0	頬５	1660	2420	433	197	13	255	0	2817	2683			
0	正面１	1025	1848	1785	3947	13	255	0	2802	2639			
0	正面２	972	1848	1850	3947	13	255	1	2803	2639			
0	正面２	971	1848	1851	3954	13	255	0	2809	2652			
0	正面１	971	1848	1808	3954	13	255	1	2808	2652			
0	正面１	1114	1848	1547	3947	13	255	0	2806	2646			
0	正面２	972	1848	1850	3947	13	255	1	2807	2646			
0	正面１	894	1848	2465	3964	13	255	1	2804	2642			
0	正面２	894	1848	2465	3964	13	255	1	2805	2642			
0	正面２	972	1848	1850	3913	13	255	1	2801	2635			
0	正面１	1136	1848	1464	3913	13	255	0	2800	2635			
2	表情	0	0	0	0	13	255	1	305				
2	眉	0	0	0	0	13	255	1	3364	305			
2	目	0	0	0	0	13	255	1	3366	305			
2	口	0	0	0	0	13	255	1	3368	305			
2	汗	0	0	0	0	13	255	0	3379	305			
2	頬	0	0	0	0	13	255	1	2683				
2	喫茶店服	0	0	0	0	13	255	0	2639				
2	パジャマ	0	0	0	0	13	255	0	2652				
2	私服１	0	0	0	0	13	255	1	2646				
2	私服２	0	0	0	0	13	255	0	2642				
2	裸	0	0	0	0	13	255	1	2635				
