#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id	base	images	
				3660	6000								
0	汗	1819	2675	25	46	13	255	1	2961	2931			
0	追真剣	1488	2417	424	121	13	255	1	3022	2923			
0	笑１	1472	2398	439	136	13	255	1	2842	2923			
0	笑２	1490	2431	426	149	13	255	1	2845	2923			
0	怒１	1514	2414	347	123	13	255	1	2848	2923			
0	怒２	1526	2403	323	126	13	255	1	2864	2923			
0	悲１	1506	2434	388	129	13	255	1	2855	2923			
0	悲２	1512	2466	360	131	13	255	1	2859	2923			
0	泣１	1543	2447	317	139	13	255	1	2865	2923			
0	泣２	1520	2439	361	141	13	255	1	2870	2923			
0	驚１	1474	2395	438	143	13	255	1	2877	2923			
0	驚２	1475	2391	438	159	13	255	1	2882	2923			
0	照１	1483	2410	433	147	13	255	1	2887	2923			
0	照２	1517	2430	387	145	13	255	1	2893	2923			
0	えっへん	1490	2422	401	113	13	255	1	2899	2923			
0	ギャグ笑	1487	2417	422	160	13	255	1	2905	2923			
0	ギャグ怒	1514	2424	338	134	13	255	1	2910	2923			
0	ギャグ泣	1515	2456	350	116	13	255	1	2915	2923			
0	ギャグ驚	1493	2416	362	96	13	255	1	2918	2923			
0	追真剣	1513	2473	437	209	13	255	0	3020	2925			
0	笑１	1511	2464	439	218	13	255	0	2843	2925			
0	笑２	1546	2493	387	186	13	255	0	2846	2925			
0	怒１	1513	2470	437	212	13	255	0	2850	2925			
0	怒２	1510	2466	440	216	13	255	0	2853	2925			
0	悲１	1510	2471	438	211	13	255	0	2856	2925			
0	悲２	1524	2497	421	185	13	255	0	2861	2925			
0	泣１	1540	2498	395	184	13	255	1	3025	2925			
0	泣２	1513	2484	436	331	13	255	0	3024	2925			
0	驚１	1509	2462	442	220	13	255	0	2880	2925			
0	驚２	1510	2460	441	221	13	255	0	2885	2925			
0	照１	1511	2474	438	208	13	255	0	2891	2925			
0	照２	1546	2493	387	186	13	255	0	2896	2925			
0	えっへん	1551	2497	376	189	13	255	0	2902	2925			
0	ギャグ笑	1546	2493	387	186	13	255	0	2908	2925			
0	ギャグ怒	1546	2528	365	158	13	255	0	2913	2925			
0	ギャグ泣	1545	2554	364	245	13	255	0	2916	2925			
0	ギャグ驚	1570	2491	310	186	13	255	0	2920	2925			
0	追開け	1711	2714	71	52	13	255	1	2980	2927			
0	追閉じ	1715	2714	66	42	13	255	0	2969	2927			
0	追真剣	1727	2733	33	31	13	255	0	3023	2927			
0	笑１	1704	2706	82	66	13	255	0	2844	2927			
0	笑２	1698	2700	102	88	13	255	0	2847	2927			
0	怒１	1720	2731	47	28	13	255	0	2851	2927			
0	怒２	1697	2698	111	95	13	255	0	2854	2927			
0	悲１	1722	2736	39	23	13	255	0	2857	2927			
0	悲２	1720	2744	51	26	13	255	0	2862	2927			
0	泣１	1709	2720	87	54	13	255	0	2869	2927			
0	泣２	1712	2729	87	39	13	255	0	2876	2927			
0	驚１	1720	2722	45	54	13	255	0	2881	2927			
0	驚２	1698	2691	113	107	13	255	0	2886	2927			
0	照１	1707	2716	76	49	13	255	0	2892	2927			
0	照２	1700	2713	93	70	13	255	0	2897	2927			
0	えっへん	1703	2707	88	77	13	255	0	2903	2927			
0	ギャグ笑	1694	2693	113	101	13	255	0	2909	2927			
0	ギャグ怒	1709	2710	77	51	13	255	0	2914	2927			
0	ギャグ泣	1710	2734	74	25	13	255	0	2917	2927			
0	ギャグ驚	1693	2690	107	106	13	255	0	2921	2927			
0	G頬	1573	2613	334	136	13	255	0	813	2314			
0	頬１	1559	2581	357	179	13	255	0	2369	2314			
0	頬２	1546	2575	370	191	13	255	0	2364	2314			
0	頬３	1544	2563	372	207	13	255	0	2360	2314			
0	頬４	1528	2545	389	248	13	255	1	2356	2314			
0	頬５	1547	2577	369	194	13	255	0	2352	2314			
0	斜め１	949	2044	1884	3700	13	255	1	2346	2086			
0	斜め２	949	2044	1884	3700	13	255	0	2345	2086			
0	斜め１	945	2044	1903	3703	13	255	1	2934	2090			
0	斜め２	945	2044	1903	3703	13	255	1	2933	2090			
0	斜め１	882	2044	2243	3711	13	255	1	2340	2094			
0	斜め２	882	2044	2243	3711	13	255	1	2339	2094			
0	斜め１	949	2044	1789	3693	13	255	0	2338	2098			
0	斜め２	949	2044	1763	3693	13	255	1	2337	2098			
0	斜め１	955	2044	1783	3655	13	255	1	2335	2103			
0	斜め２	955	2044	1465	3655	13	255	0	2336	2103			
2	表情	0	0	0	0	13	255	0	974				
2	汗	0	0	0	0	13	255	0	2931	974			
2	眉	0	0	0	0	13	255	0	2923	974			
2	目	0	0	0	0	13	255	1	2925	974			
2	口	0	0	0	0	13	255	0	2927	974			
2	頬	0	0	0	0	13	255	0	2314				
2	喫茶店服	0	0	0	0	13	255	0	2086				
2	パジャマ	0	0	0	0	13	255	0	2090				
2	私服２	0	0	0	0	13	255	0	2094				
2	私服１	0	0	0	0	13	255	1	2098				
2	裸	0	0	0	0	13	255	0	2103				
