#layer_type	name	left	top	width	height	type	opacity	visible	layer_id	group_layer_id	base	images	
				3660	6000								
0	後ろ向き	798	1842	1682	3831	13	255	0	1427	1403			
0	後ろ向き	798	1842	1856	3807	13	255	1	1426	1405			
0	後ろ向き	798	1842	1800	3839	13	255	1	1424	1407			
0	後ろ向き	798	1842	1664	3831	13	255	1	1423	1409			
0	後ろ向き	798	1842	1636	3787	13	255	1	1422	1411			
2	喫茶店服	0	0	0	0	13	255	0	1403				
2	パジャマ	0	0	0	0	13	255	0	1405				
2	私服２	0	0	0	0	13	255	0	1407				
2	私服１	0	0	0	0	13	255	0	1409				
2	裸	0	0	0	0	13	255	1	1411				
